Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Nepal,NPL,8253520017.23047,13432367221.0195,24360801286.7638,24466311259.2881,26662720369.2492,28695053195.3457,30605298792.5448,29880069318.7261,31325711777.1674,33089761145.0969,33735853500.29,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Netherlands,NLD,468115532317.115,647616371115.081,775743675302.734,794549918798.828,816650691068.16,835096710123.568,854304699361.253,821260591753.75,872809728969.262,916513359627.026,917196718601.978,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,New Caledonia,NCL,..,..,8738203074.3957,..,..,..,..,..,..,..,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,New Zealand,NZL,87877226590.4217,119003047472.934,178104220784.881,184780121689.709,191057624435.572,197743680329.155,202414311267.63,201554239788.002,210717394654.719,216564470789.24,218152542756.614,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Nicaragua,NIC,5248474807.17566,7324900195.21078,12756685550.3389,13338767298.6815,13956690226.4274,13487230761.4818,13096501920.7484,12866533516.5017,14193856859.1735,14726450786.5827,15399335188.1835,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Niger,NER,3860672838.20896,4522117708.50312,9683867926.44282,10239808436.9433,10752347793.0235,11527744540.163,12212475570.6373,12646096746.8881,12821067681.4111,14346774735.5026,14705444103.8902,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Nigeria,NGA,153178750575.315,179675448843.373,493026682800.63,485055087455.82,488964081500.901,498365674277.734,509371727735.743,500232309808.216,518476715283.896,535335926240.996,550647684655.998,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,North Macedonia,MKD,7293742777.22762,6653275727.54115,10064519962.5655,10351178142.8536,10463154366.0785,10764555646.4726,11185494933.6944,10661068595.4055,11141955229.994,11449348867.2054,11686665220.5256,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Northern Mariana Islands,MNP,..,..,910000000,1175830303.0303,1448278787.87879,1165903030.30303,1032436363.63636,732412121.212121,768812121.212121,896763636.363636,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Norway,NOR,211808370362.716,304696827529.193,388159512245.53,392680500155.007,402355151389.893,405690275911.956,410249333471.117,405005642244.497,420836044228.583,433484840343.081,435564038441.666,..
