Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Population, total",SP.POP.TOTL,Viet Nam,VNM,65504552,77154011,92823254,94000117,95176977,96237319,97173776,98079191,98935098,99680655,100352192,..
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,103963,108642,107712,107516,107281,107001,106669,106290,105870,105413,104917,..
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,1978248,2922153,4270092,4367088,4454805,4569087,4685306,4803269,4922749,5043612,5165775,..
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,13887862,19624141,31159379,32109010,33090921,34085182,35111408,36134863,37140230,38222876,39390799,..
"Population, total",SP.POP.TOTL,Zambia,ZMB,7786169,10017631,16399089,16914423,17441320,17973569,18513839,19059395,19603607,20152938,20723965,..
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,10137281,11892055,14399013,14600294,14812482,15034452,15271368,15526888,15797210,16069056,16340822,..
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,311748681,406156661,607123269,623369401,640058741,657801085,675950189,694446100,713090928,731821393,750503764,..
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,209566031,274968446,418127845,429454743,440882906,452195915,463365429,474569351,485920997,497387180,509398589,..
"Population, total",SP.POP.TOTL,Arab World,ARB,223184294,286548096,410190679,419808341,428315886,435998060,444281315,453723239,460646603,471352066,481667539,..
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,2402741,2636455,2964524,2987438,3009507,3048465,3079149,3092577,3111609,3131505,3152394,..
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,110743128,108447824,103206007,102926796,102656954,102439383,102282674,102046650,100647592,100289401,100175859,..
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,2044241467,2509431470,3190318707,3233033717,3274060446,3314245247,3355014793,3396051187,3432026092,3470644834,3511076811,..
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,1817735540,2050149617,2300844269,2317076058,2333475520,2347576325,2359771090,2369438682,2375144416,2379648296,2384463611,..
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,1600739173,1819011507,2056050896,2071486140,2087238522,2100698838,2112289891,2121866294,2128553744,2133560408,2137527754,..
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,1579651917,1795374943,2030504270,2045816761,2061449949,2074796982,2086281644,2095759417,2102350702,2107261123,2111139152,..
"Population, total",SP.POP.TOTL,Euro area,EMU,316087007,325789631,343698622,344655545,345333240,346105839,346454019,346922366,347094588,348627172,349670802,..
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,845290251,865392493.5,908458970.5,912576858.5,916236104.5,919738352.5,922811778,925088545.5,925075848,925385334.5,924969865,..
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,208212866,218486597.5,240230296.5,242407763.5,244530211.5,246654915.5,248858341,250655325.5,252183790,250834021.5,249146208,..
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,430990546,438423540.5,454002756.5,456330266.5,458504366.5,460515553.5,462573906,463913014.5,463790894,461440170.5,459025452,..
"Population, total",SP.POP.TOTL,European Union,EUU,420525030,429339162,444550397,445487171,446177810,446953938,447303223,447653554,446564156,447847220,448804042,..
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,488697502,622883185,892657785,912614026,933013886,953648681,974824119,996691242,1018693078,1038158122,1058789534,..
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,361657937,481984327,735429414,756895035,779389964,802020674,824649053,847743308,870930036,893906294,917304254,..
"Population, total",SP.POP.TOTL,High income,HIC,1179067863,1251758606,1360842914,1368877184,1374784294,1379152141,1383372477,1389524835,1387107942,1393036569,1400465513,..
"Population, total",SP.POP.TOTL,IBRD only,IBD,3455533853,3983328255,4677114235,4721984235,4766267453,4807550491,4845715724,4879367453,4905899020,4928694202,4952574126,..
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,4330689753,5116723506.5,6281302513.5,6360570925.5,6440496862.5,6518627024.5,6594857152,6667541078.5,6733337540,6795222291.5,6858957145,..
"Population, total",SP.POP.TOTL,IDA blend,IDB,288176590,376430953,541987714,552474265,563290702,574487740,585824310,597524859,609556583,621500917,633230238,..
"Population, total",SP.POP.TOTL,IDA only,IDX,586979310,756964298.5,1062200564.5,1086112425.5,1110938707.5,1136588793.5,1163317118,1190648766.5,1217881937,1245027172.5,1273152781,..
"Population, total",SP.POP.TOTL,IDA total,IDA,875155900,1133395251.5,1604188278.5,1638586690.5,1674229409.5,1711076533.5,1749141428,1788173625.5,1827438520,1866528089.5,1906383019,..
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,1844718134,2043581321.5,2256211694.5,2270944240.5,2285977088.5,2298520431.5,2309008599,2316785459.5,2320366261,2324072105.5,2326658047,..
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,440958144,520272118,618806527,624664026,630329435,635680745,640853375,645497618,649234475,653104771,657611624,..
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,395535053,466891427,555893183,561307280,566870356,572668977,578311232,583125825,586944219,590730587,594995068,..
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,426091608,504556065,603091701,609017063,614776664,620274430,625467307,630051021,633862610,637837815,642397939,..
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,519693837,673630102,962508256,985414939,1008993468,1033110314,1058013514,1083636132,1109175268,1134585604,1160824674,..
"Population, total",SP.POP.TOTL,Low & middle income,LMY,4100351515,4885599511.5,6050054834.5,6128880429.5,6208763934.5,6287535114.5,6364581440,6438169877.5,6505838578,6568731933.5,6633109634,..
"Population, total",SP.POP.TOTL,Low income,LIC,292948240,390079731,592175402,607867476,624557000,642186195,660718366,679560744,698215206,716865783,736466395,..
"Population, total",SP.POP.TOTL,Lower middle income,LMC,1710810036,2125376113.5,2763351401.5,2804867051.5,2846133568.5,2886705487.5,2926690682,2966396716.5,3004162907,3041203716.5,3079778780,..
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,255077790,319840863,443111159,452184895,459925735,466691130,474057593,482334398,488100624,498070255,508311359,..
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,233120964,287971068,384230039,390998434,397804712,404775501,411833977,418461302,424980589,432229148,440118189,..
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,231142716,285048915,379959947,386631346,393349907,400206414,407148671,413658033,420057840,427185536,434952414,..
"Population, total",SP.POP.TOTL,Middle income,MIC,3807403275,4495519780.5,5457879432.5,5521012953.5,5584206934.5,5645348919.5,5703863074,5758609133.5,5807623372,5851866150.5,5896643239,..
"Population, total",SP.POP.TOTL,North America,NAC,277371697,312909691,356506956,359246007,361730781,363974650,366012555,369619953,370353489,372275216,375077354,..
"Population, total",SP.POP.TOTL,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,OECD members,OED,1107695519,1202226474,1331189869,1339441048,1347317014,1355260023,1362497757,1370013876,1371769252,1378506989,1385723403,..
"Population, total",SP.POP.TOTL,Other small states,OSS,9464103,10425820,13091061,13273445,13487767,13634874,13761088,13884095,14040798,14217718,14411921,..
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,1775607,2042274,2445989,2477794,2509999,2542009,2568656,2595522,2625493,2656049,2689224,..
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,964371624,1021150563,1097599410,1102507839,1106644744,1110512190,1113651656,1117765361,1117015201,1117561802,1119236161,..
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,422471117,562428025,870587800,895239872,920568701,946317177,972302503,998624261,1024960313,1051201551,1078224044,..
"Population, total",SP.POP.TOTL,Small states,SST,13642451,15104549,18501574,18738677,19007273,19225348,19408893,19572194,19777900,20005272,20253539,..
"Population, total",SP.POP.TOTL,South Asia,SAS,1141498254,1412194936,1788492725,1809951345,1831474329,1852836645,1874070006,1895144142,1914263569,1932289074,1951539835,..
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1141498254,1412194936,1788492725,1809951345,1831474329,1852836645,1874070006,1895144142,1914263569,1932289074,1951539835,..
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,521314712,681125107,1025251114,1052824144,1080941647,1109997000,1139315618,1169015451,1199011925,1229208573,1259902353,..
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,521245205,681043976,1025157695,1052729467,1080845804,1109900238,1139217993,1168916989,1198912667,1229088695,1259782580,..
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,521314712,681125107,1025251114,1052824144,1080941647,1109997000,1139315618,1169015451,1199011925,1229208573,1259902353,..
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2096593239,2370143667,2694528031,2716145902,2738073366,2758643432,2777172392,2792212417,2803460465,2810662434,2816864459,..
"Population, total",SP.POP.TOTL,World,WLD,5299246388,6161884825.5,7441471720.5,7528523333.5,7614113551.5,7696494847.5,7776892015,7856138789.5,7921184346,7989981519.5,8061876001,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,,,,,,,
