Entity,Code,Year,Renewables (% equivalent primary energy)
Belarus,BLR,1988,0.012336069
Belarus,BLR,1989,0.012754958
Belarus,BLR,1990,0.012691678
Belarus,BLR,1991,0.011448725
Belarus,BLR,1992,0.012468852
Belarus,BLR,1993,0.0166659
Belarus,BLR,1994,0.019936154
Belarus,BLR,1995,0.023589266
Belarus,BLR,1996,0.018399423
Belarus,BLR,1997,0.023874054
Belarus,BLR,1998,0.032551832
Belarus,BLR,1999,0.02270776
Belarus,BLR,2000,0.031309374
Belarus,BLR,2001,0.035550434
Belarus,BLR,2002,0.033003505
Belarus,BLR,2003,0.03190051
Belarus,BLR,2004,0.03438375
Belarus,BLR,2005,0.03729108
Belarus,BLR,2006,0.036019437
Belarus,BLR,2007,0.049702015
Belarus,BLR,2008,0.10045312
Belarus,BLR,2009,0.19694
Belarus,BLR,2010,0.25681728
Belarus,BLR,2011,0.24902159
Belarus,BLR,2012,0.26328462
Belarus,BLR,2013,0.31542054
Belarus,BLR,2014,0.30440024
Belarus,BLR,2015,0.35748994
Belarus,BLR,2016,0.42184713
Belarus,BLR,2017,0.76281804
Belarus,BLR,2018,0.62600327
Belarus,BLR,2019,0.76110655
Belarus,BLR,2020,0.9905478
Belarus,BLR,2021,1.1767174
Belarus,BLR,2022,1.232193
Belarus,BLR,2023,1.0955958
Belgium,BEL,1965,0.19477375
Belgium,BEL,1966,0.2222244
Belgium,BEL,1967,0.16850357
Belgium,BEL,1968,0.15502341
Belgium,BEL,1969,0.13315211
Belgium,BEL,1970,0.1348094
Belgium,BEL,1971,0.07485565
Belgium,BEL,1972,0.094584495
Belgium,BEL,1973,0.15358604
Belgium,BEL,1974,0.19144316
Belgium,BEL,1975,0.15560855
Belgium,BEL,1976,0.09175519
Belgium,BEL,1977,0.26350048
Belgium,BEL,1978,0.25915167
Belgium,BEL,1979,0.2870648
Belgium,BEL,1980,0.31437635
Belgium,BEL,1981,0.3818605
Belgium,BEL,1982,0.21976362
Belgium,BEL,1983,0.21319486
Belgium,BEL,1984,0.21372303
Belgium,BEL,1985,0.18697688
Belgium,BEL,1986,0.2481859
Belgium,BEL,1987,0.30061248
Belgium,BEL,1988,0.2812268
Belgium,BEL,1989,0.25771403
Belgium,BEL,1990,0.27479723
Belgium,BEL,1991,0.25747827
Belgium,BEL,1992,0.29419133
Belgium,BEL,1993,0.24665137
Belgium,BEL,1994,0.2759149
Belgium,BEL,1995,0.30512008
Belgium,BEL,1996,0.24271938
Belgium,BEL,1997,0.25003314
Belgium,BEL,1998,0.31667665
Belgium,BEL,1999,0.36021915
